source_type,status_code,domain,url,final_url,case_ids,source_refs,title,body_sha256,body_size_bytes,text_size_chars,body_file,text_file,error
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/?topic=5449402.0,https://bitcointalk.org/?topic=5449402.0,BTC-001,cases_database.json,Rollbit disables account and seizes funds (10.2k)!,aebee273370ab45dc01c0aedffd3ea63cd09cd763087c11804f356abc23aba29,205516,49598,output/captures/public_records/20260425T111024Z/bitcointalk.org_611e33190dde.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_611e33190dde.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5412105.0,https://bitcointalk.org/index.php?topic=5412105.0,BTC-011,cases_database.json,rollbit.com scam,54c5d5dcea1b11ce7dc0bb0e5d829ac8c36673ba1aab9dfebb952e810b71f2ae,199829,34690,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_2b512c902942.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_2b512c902942.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5419674.0,https://bitcointalk.org/index.php?topic=5419674.0,BTC-003,cases_database.json,"Rollbit.com scamming $10,000 USD [Careful not to bet in their casino!] &#10071;",c87c2129e91400cbdb7d396a5a972081345ceee76f1e270e4d83d720e420d813,194572,33691,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_82b6c15380ff.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_82b6c15380ff.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5447471.0,https://bitcointalk.org/index.php?topic=5447471.0,BTC-012,cases_database.json,Rollbit scam,29141327d776fa264b92bc1d6fea97c8bfdc3f80d025da89a815e06d881dd88e,249542,33398,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_622d03fdecc1.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_622d03fdecc1.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5463996.40,https://bitcointalk.org/index.php?topic=5463996.40,BTC-002,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,"Rollbit Scam. Cannot Withdraw $30,211. Being Ignored by Support.",2096dc923ac58d39537048a37eecd1ac4022837fe956b5a236c292deeaff1b58,275437,68226,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_bbf0ee817546.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_bbf0ee817546.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5471380.0,https://bitcointalk.org/index.php?topic=5471380.0,BTC-006,cases_database.json,"Rollbit has literally has thrown my money away, sending it to an FTX address",61bcaabf7cb885ade58cb86ed0eb9e896ac6f59a57691a53ec90236ae0089314,285522,76625,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_6d250c2bdb6c.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_6d250c2bdb6c.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5489049.0,https://bitcointalk.org/index.php?topic=5489049.0,BTC-007,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,ROLLBIT.COM is a scam. They stole my funds!,2d3ccf206e2ef7a2de34ddf778bfd86097eca04033e4631fb7d31aaba6bd99c1,221486,33146,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_7ec7a49cdded.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_7ec7a49cdded.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5489760.60,https://bitcointalk.org/index.php?topic=5489760.60,BTC-010,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,Rollbit locked/pending withdrawals,81c094988d4faed4f7ada71e39b62168fe125bf95ecd6a9e0dc8f2c35dd8fddf,293866,57432,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_fda532cc1707.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_fda532cc1707.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5503600.0,https://bitcointalk.org/index.php?topic=5503600.0,BTC-005,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,Rollbit locked my account with $55k+,87c64fc064d14c13ee6a43c9ea0ede28a03695ffa096c87f75364928ec420205,222078,35457,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_5afdc903b3d1.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_5afdc903b3d1.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5504738.0,https://bitcointalk.org/index.php?topic=5504738.0,BTC-009,cases_database.json,[UNRESOLVED]Rollbit SCAMS money from restricted players with 0% chance of lose,92c3e9c1740f8b1968532b08faa077ca50d6340aa726bcaf14d9ef653b84b3c4,248047,43470,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_63a3bf1c9ec4.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_63a3bf1c9ec4.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5520613.0,https://bitcointalk.org/index.php?topic=5520613.0,BTC-004,cases_database.json,ROLLBIT MAINTENANCE SCAM.,601100fc09ae6e6eab15f8b7783a9f4877689b0564f8bf7bf80fcde5814dba43,238331,57874,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_66a555376c58.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_66a555376c58.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5534596.0,https://bitcointalk.org/index.php?topic=5534596.0,BTC-013,cases_database.json,Scammed by Rollbit,acf69f6d2a653e5b38a246f42257064cd68cfb0af433860de609b45f5fc43ebf,131718,20119,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_ec869fbbcf26.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_ec869fbbcf26.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5537096.60,https://bitcointalk.org/index.php?topic=5537096.60,BTC-015,cases_database.json,Rollbit Blocking My funds � False Multiple Accounts Claim,de2d7ee9138b8abffdbc64a919ce704ff2c02934284e66cb554e1293ee8e8f31,61544,12561,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_1b41afb75450.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_1b41afb75450.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5538532.0,https://bitcointalk.org/index.php?topic=5538532.0,BTC-014,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,Rollbit scam for 400 dollars (Resolved),dabf0fed6b8893eda5c31c899675d7b8d6ee381e7d506b3020da1415dd666f26,150995,26742,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_0440c909e6b9.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_0440c909e6b9.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5538592.0,https://bitcointalk.org/index.php?topic=5538592.0,BTC-008,cases_database.json,Rollbit ignore and scam?,dde28bf01c8b14fd5222cf8dac105a6dfdce786e742be3177462953e7a099f7e,230414,31217,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_65270a565625.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_65270a565625.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5539143.0;wap,https://bitcointalk.org/index.php?topic=5539143.0;wap,BT-017,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,,2598a4fda7f5802d501edf0c80459708e1af3e828dcbcf7de20620566b2d6bd4,11529,9623,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_d593f7993ded.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_d593f7993ded.text.txt,
complaint_forum,200,bitcointalk.org,https://bitcointalk.org/index.php?topic=5543348.0;wap,https://bitcointalk.org/index.php?topic=5543348.0;wap,BT-016,REPORT_6_EVIDENCE_REGISTER.md|cases_database.json,,6f91c4992a24fbbc6747266316fa5e585da0053f0dbc228da1550e283b05d3c5,12408,10543,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_d54f77166b45.body.bin,output/captures/public_records/20260425T111024Z/bitcointalk.org_index.php_d54f77166b45.text.txt,
